tconst,genres
tt0081648,Drama
tt0081653,Acción
tt0081653,Adventure
tt0081653,Comedy
tt0081659,Drama
tt0081659,Family
tt0081659,Fantasía
tt0081662,Terror
tt0081662,Mystery
tt0081664,Drama
tt0081664,Family
tt0081664,Fantasía
tt0081674,Comedy
tt0081674,Ciencia Ficción
tt0081675,Family
tt0081675,Ciencia Ficción
tt0081677,Terror
tt0081680,Adventure
tt0081680,Comedy
tt0081685,Acción
tt0081685,Crime
tt0081685,Drama
tt0081693,Acción
tt0081693,Family
tt0081693,Fantasía
tt0081713,Terror
tt0081715,Drama
tt0081715,Terror
tt0081715,Thriller
tt0081721,Drama
tt0081721,Family
tt0081721,Fantasía
tt0081738,Family
tt0081738,Terror
tt0081738,Mystery
tt0081743,Acción
tt0081743,Drama
tt0081743,History
tt0081747,Acción
tt0081747,Adventure
tt0081747,Drama
tt0081751,Comedy
tt0081751,Fantasía
tt0081760,Adventure
tt0081760,Drama
tt0081760,Western
tt0081763,Comedy
tt0081763,Terror
tt0081764,Terror
tt0081764,Ciencia Ficción
tt0081764,Thriller
tt0081777,Fantasía
tt0081777,Musical
tt0081777,Romance
tt0081778,Acción
tt0081778,Comedy
tt0081778,Crime
tt0081779,Acción
tt0081779,Comedy
tt0081780,Acción
tt0081780,Comedy
tt0081782,Crime
tt0081782,Fantasía
tt0081782,Terror
tt0081789,Acción
tt0081793,Terror
tt0081793,Thriller
tt0081796,Adventure
tt0081796,Comedy
tt0081803,Comedy
tt0081803,Fantasía
tt0081809,Acción
tt0081809,Adventure
tt0081809,Thriller
tt0081823,Acción
tt0081823,Comedy
tt0081823,Crime
tt0081881,Animación
tt0081881,Comedy
tt0081881,Family
tt0081967,Acción
tt0081967,Drama
tt0081989,Drama
tt0081989,Ciencia Ficción
tt0081989,Thriller
tt0081995,Drama
tt0081995,Terror
tt0081995,Mystery
tt0082000,Terror
tt0082000,Ciencia Ficción
tt0082005,Acción
tt0082005,Crime
tt0082005,Thriller
tt0082009,Animación
tt0082009,Drama
tt0082009,History
tt0082010,Comedy
tt0082010,Terror
tt0082025,Terror
tt0082034,Comedy
tt0082034,Crime
tt0082034,Fantasía
tt0082042,Adventure
tt0082042,Comedy
tt0082042,Romance
tt0082045,Acción
tt0082045,Comedy
tt0082072,Acción
tt0082072,Drama
tt0082079,Acción
tt0082079,Drama
tt0082079,Terror
tt0082083,Comedy
tt0082083,Terror
tt0082083,Ciencia Ficción
tt0082084,Terror
tt0082084,Thriller
tt0082094,Terror
tt0082094,Ciencia Ficción
tt0082094,Thriller
tt0082102,Comedy
tt0082102,Terror
tt0082107,Acción
tt0082107,Drama
tt0082112,Acción
tt0082112,Drama
tt0082112,History
tt0082116,Terror
tt0082118,Terror
tt0082133,Acción
tt0082133,Drama
tt0082133,History
tt0082136,Acción
tt0082136,Comedy
tt0082136,Sport
tt0082153,Acción
tt0082153,Drama
tt0082153,Terror
tt0082174,Acción
tt0082174,Adventure
tt0082183,Adventure
tt0082183,Comedy
tt0082183,Crime
tt0082186,Acción
tt0082186,Adventure
tt0082186,Fantasía
tt0082198,Adventure
tt0082198,Fantasía
tt0082199,Acción
tt0082199,Adventure
tt0082199,Comedy
tt0082213,Comedy
tt0082213,Terror
tt0082213,Musical
tt0082237,Terror
tt0082242,Terror
tt0082242,Mystery
tt0082243,Terror
tt0082243,Mystery
tt0082243,Ciencia Ficción
tt0082244,Drama
tt0082244,Terror
tt0082244,Thriller
tt0082245,Terror
tt0082245,Thriller
tt0082247,Acción
tt0082247,Adventure
tt0082247,Crime
tt0082250,Acción
tt0082250,Crime
tt0082250,Drama
tt0082257,Terror
tt0082263,Comedy
tt0082263,Family
tt0082263,Fantasía
tt0082264,Adventure
